Frame,Food Name(s),Confidence(%)
680,Pho,86
681,Pho,87
682,Pho,89
683,Pho,83
684,Pho,87
685,Pho,88
686,Pho,89
687,Pho,90
688,Pho,90
689,Pho,91
690,Pho,92
691,Pho,94
692,Pho,95
693,Pho,94
694,Pho,95
695,Pho,95
696,Pho,95
697,Pho,94
698,Pho,95
699,Pho,93
700,Pho,93
701,Pho,92
702,Pho,89
703,Pho,87
704,Pho,90
705,Pho,87
706,Pho,87
707,Pho,86
708,Pho,91
709,Pho,93
710,Pho,93
711,Pho,92
712,Pho,92
713,Pho,92
714,Pho,90
715,Pho,90
716,Pho,89
717,Pho,90
718,Pho,91
719,Pho,91
720,Pho,89
721,Hu_tieu,66
722,Hu_tieu,74
723,Hu_tieu,60
724,Hu_tieu,74
725,Hu_tieu,69
726,Hu_tieu,63
727,Hu_tieu,56
728,Hu_tieu,74
729,Hu_tieu,68
730,Hu_tieu,62
731,Hu_tieu,76
732,Hu_tieu,80
733,Hu_tieu,74
734,Hu_tieu,80
735,Hu_tieu,81
736,Hu_tieu,84
737,Hu_tieu,87
738,Hu_tieu,85
739,Hu_tieu,84
740,Hu_tieu,78
741,Hu_tieu,79
742,Hu_tieu,82
743,Hu_tieu,81
744,Hu_tieu,83
745,Hu_tieu,81
746,Hu_tieu,66
747,Hu_tieu,56
748,Hu_tieu,60
749,Hu_tieu,63
750,Mi,71
751,Mi,84
752,Mi,72
753,Mi,68
754,Hu_tieu,60
755,Mi,63
756,Mi,67
757,Pho,50
758,Mi,78
759,Mi,70
760,Mi,66
761,Mi,83
762,Mi,74
763,Pho,56
764,Mi,78
765,Pho,62
766,Mi,77
767,Pho,56
768,Mi,68
769,Mi,67
770,Pho,50
771,Mi,88
772,Pho,64
773,Mi,83
774,Pho,61
775,Mi,82
776,Mi,75
777,Mi,85
778,Mi,77
779,Mi,83
780,Mi,73
781,Mi,82
782,Mi,85
783,Mi,88
784,Mi,84
785,Mi,84
786,Mi,79
787,Mi,60
788,Mi,79
789,Mi,81
790,Mi,76
791,Mi,80
792,Mi,84
793,Mi,87
794,Mi,77
795,Mi,65
796,Mi,77
797,Mi,86
798,Mi,87
799,Salad,75
800,Salad,65
801,Salad,53
802,Salad,82
803,Salad,68
804,Salad,65
805,Salad,50
806,Salad,62
807,Pho,59
808,Pho,50
809,Pho,66
810,Pho,59
811,Pho,72
812,Pho,74
813,Pho,70
814,Pho,77
815,Pho,80
816,Pho,84
817,Pho,79
818,Pho,55
819,Pho,52
820,Pho,74
821,Pho,69
822,Pho,64
823,Pho,72
824,Pho,52
825,Pho,54
826,Pho,74
827,Pho,51
828,Bun_mam,71
829,Bun_mam,76
830,Salad,57
831,Bun_mam,80
832,Salad,62
833,Salad,64
834,Bun_mam,56
835,Salad,56
836,Thit_nuong,64
837,Bun_mam,50
838,Thit_nuong,59
839,Bun_mam,56
840,Bun_mam,60
841,Thit_nuong,57
842,Thit_nuong,59
843,Thit_nuong,53
844,Bo_kho,68
845,Bo_kho,63
846,Bo_kho,59
847,Thit_nuong,77
848,Thit_nuong,69
849,Pho,51
850,Pho,52
851,Thit_nuong,56
852,Thit_nuong,50
853,Bun_bo_Hue,59
854,Bun_bo_Hue,68
855,Bun_bo_Hue,64
856,Bun_bo_Hue,60
857,Bun_bo_Hue,56
858,Bun_bo_Hue,57
859,Bun_bo_Hue,59
860,Bun_bo_Hue,66
861,Bun_bo_Hue,60
862,Bun_mam,51
863,Pho,56
864,Bun_bo_Hue,73
865,Bun_bo_Hue,55
866,Bun_bo_Hue,62
867,Bun_bo_Hue,60
868,Bo_kho,56
869,Bo_kho,62
870,Bo_kho,56
